"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"13459","1506001854","15","06","001","854","15721","SALTO","FERNANDEZ","N/A","N/A",19,10,9,19,10,9,0,0,0,21,9,12,20,9,11,0,0,0
"13460","1801126406","18","01","126","406","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13461","0401134406","04","01","134","406","04020","CERRO LARGO","MELO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13462","0804003409","08","04","003","409","08724","FLORIDA","NICO PEREZ","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13463","0304024005","03","04","024","005","03221","CANELONES","LAS PIEDRAS","N/A","N/A",25,23,2,25,23,2,0,0,0,64,32,32,57,29,28,0,0,0
"13464","1801122014","18","01","122","014","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",60,52,8,59,52,7,1,0,1,155,78,77,152,76,76,0,0,0
"13465","0121048014","01","21","048","014","01020","MONTEVIDEO","MONTEVIDEO","PEÑAROL, LAVALLEJA","13",36,36,0,36,36,0,0,0,0,116,64,52,109,61,48,0,0,0
"13466","1802108806","18","02","108","806","18900","TACUAREMBO","RURAL","N/A","N/A",67,44,23,67,44,23,0,0,0,113,52,61,109,50,59,0,0,0
"13467","1803403004","18","03","403","004","18900","TACUAREMBO","RURAL","N/A","N/A",32,12,20,26,12,14,6,0,6,34,17,17,34,17,17,0,0,0
"13468","1202503852","12","02","503","852","12621","RIO NEGRO","NUEVO BERLIN","N/A","N/A",6,1,5,6,1,5,0,0,0,3,1,2,3,1,2,0,0,0
"13469","0120013005","01","20","013","005","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",55,51,4,55,51,4,0,0,0,117,54,63,114,53,61,0,0,0
"13470","1803004001","18","03","004","001","18900","TACUAREMBO","RURAL","N/A","N/A",11,1,10,3,1,2,8,0,8,2,1,1,2,1,1,0,0,0
"13471","1801122602","18","01","122","602","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",36,22,14,36,22,14,0,0,0,52,23,29,40,17,23,0,0,0
"13472","1201021021","12","01","021","021","12930","RIO NEGRO","LOS ARRAYANES","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13473","0120015001","01","20","015","001","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",54,41,13,53,40,13,1,1,0,100,53,47,78,39,39,14,12,2
"13474","1801327003","18","01","327","003","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",14,11,3,14,11,3,0,0,0,34,17,17,28,14,14,0,0,0
"13475","1701014006","17","01","014","006","17220","SORIANO","MERCEDES","N/A","N/A",38,35,3,37,34,3,1,1,0,81,44,37,66,32,34,11,11,0
"13476","1701010010","17","01","010","010","17220","SORIANO","MERCEDES","N/A","N/A",37,35,2,37,35,2,0,0,0,86,44,42,86,44,42,0,0,0
"13477","1810004401","18","10","004","401","18321","TACUAREMBO","PASO DE LOS TOROS","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13478","1810101041","18","10","101","041","18321","TACUAREMBO","PASO DE LOS TOROS","N/A","N/A",12,12,0,12,12,0,0,0,0,27,14,13,26,14,12,0,0,0
"13479","1811005008","18","11","005","008","18931","TACUAREMBO","CUCHILLA DE PERALTA","N/A","N/A",8,5,3,8,5,3,0,0,0,15,7,8,15,7,8,0,0,0
"13480","0609006010","06","09","006","010","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",22,17,5,22,17,5,0,0,0,34,20,14,29,19,10,0,0,0
"13481","0113033872","01","13","033","872","01020","MONTEVIDEO","MONTEVIDEO","LA PALOMA, TOMKINSON","17",121,115,6,121,115,6,0,0,0,301,141,160,294,139,155,0,0,0
"13482","0120010005","01","20","010","005","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",43,39,4,43,39,4,0,0,0,111,53,58,98,51,47,0,0,0
"13483","1810012026","18","10","012","026","18321","TACUAREMBO","PASO DE LOS TOROS","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13484","1810012027","18","10","012","027","18321","TACUAREMBO","PASO DE LOS TOROS","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13485","1801023407","18","01","023","407","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13486","1802007004","18","02","007","004","18900","TACUAREMBO","RURAL","N/A","N/A",37,23,14,36,23,13,1,0,1,39,22,17,39,22,17,0,0,0
"13487","1807004003","18","07","004","003","18900","TACUAREMBO","RURAL","N/A","N/A",59,40,19,34,16,18,25,24,1,51,24,27,43,21,22,7,3,4
"13488","1807004001","18","07","004","001","18900","TACUAREMBO","RURAL","N/A","N/A",15,6,9,14,6,8,1,0,1,15,7,8,14,7,7,0,0,0
